,Date,Montly Precipitation,20th Percentile,lat,lon,Year,Month
0,1990-02-01,0.9800000190734864,4.584000110626221,35.5,10.5,1990,2
1,1990-02-01,5.920000076293945,7.848000049591064,36.5,10.5,1990,2
2,1990-02-01,0.6100000143051147,3.069999933242798,35.5,11.5,1990,2
3,1990-02-01,0.0,0.6979999899864197,35.5,12.5,1990,2
4,1990-05-01,0.75,1.5019999742507932,35.5,25.5,1990,5
5,1990-05-01,0.0,0.0299999993294477,36.5,25.5,1990,5
6,1990-05-01,0.0,0.209999993443489,37.5,25.5,1990,5
7,1990-05-01,0.0399999991059303,0.4699999988079071,38.5,25.5,1990,5
8,1990-05-01,3.319999933242798,5.82799997329712,39.5,25.5,1990,5
9,1990-05-01,0.1299999952316284,0.6439999818801879,35.5,27.5,1990,5
10,1990-05-01,0.2599999904632568,0.627999997138977,36.5,27.5,1990,5
11,1990-06-01,3.490000009536743,4.584000110626221,35.5,10.5,1990,6
12,1990-06-01,2.359999895095825,7.848000049591064,36.5,10.5,1990,6
13,1990-06-01,1.940000057220459,6.035999965667724,37.5,10.5,1990,6
14,1990-06-01,1.7799999713897705,1.9600000381469729,35.5,23.5,1990,6
15,1990-06-01,2.0,3.124000072479248,36.5,23.5,1990,6
16,1990-06-01,1.5800000429153442,5.619999885559081,37.5,23.5,1990,6
17,1990-06-01,8.739999771118164,9.578000259399412,38.5,23.5,1990,6
18,1990-07-01,0.5,3.069999933242798,35.5,11.5,1990,7
19,1990-07-01,0.0399999991059303,1.9600000381469729,35.5,23.5,1990,7
20,1990-07-01,0.1199999973177909,3.124000072479248,36.5,23.5,1990,7
21,1990-07-01,0.6600000262260437,5.619999885559081,37.5,23.5,1990,7
22,1990-07-01,1.7599999904632568,9.578000259399412,38.5,23.5,1990,7
23,1990-07-01,16.329999923706055,17.918000411987304,39.5,23.5,1990,7
24,1990-07-01,0.5299999713897705,1.6579999685287474,35.5,26.5,1990,7
25,1990-07-01,0.0,0.088000002503395,36.5,26.5,1990,7
26,1990-07-01,0.0900000035762786,0.6779999971389769,37.5,26.5,1990,7
27,1990-07-01,0.8100000023841858,2.624000072479248,38.5,26.5,1990,7
28,1990-07-01,3.990000009536743,8.043999767303466,39.5,26.5,1990,7
29,1990-07-01,9.970000267028809,15.838000297546383,40.5,26.5,1990,7
30,1990-07-01,13.119999885559082,18.945999908447263,41.5,26.5,1990,7
31,1990-07-01,0.270000010728836,0.6439999818801879,35.5,27.5,1990,7
32,1990-07-01,0.1599999964237213,0.627999997138977,36.5,27.5,1990,7
33,1990-07-01,0.4000000059604645,4.429999828338623,37.5,27.5,1990,7
34,1990-07-01,1.2000000476837158,6.74399995803833,38.5,27.5,1990,7
35,1990-07-01,2.25,11.192000007629394,39.5,27.5,1990,7
36,1990-07-01,14.140000343322754,18.32799911499023,40.5,27.5,1990,7
37,1990-07-01,17.979999542236328,18.768000411987305,41.5,27.5,1990,7
38,1990-07-01,16.8700008392334,21.08999977111816,42.5,27.5,1990,7
39,1990-07-01,15.770000457763672,21.410000228881835,43.5,27.5,1990,7
40,1990-07-01,15.949999809265137,17.538000106811523,44.5,27.5,1990,7
41,1990-08-01,0.3499999940395355,0.6979999899864197,35.5,12.5,1990,8
42,1990-09-01,0.1599999964237213,0.4179999887943267,35.5,14.5,1990,9
43,1991-06-01,4.489999771118164,4.584000110626221,35.5,10.5,1991,6
44,1991-06-01,1.9800000190734863,7.848000049591064,36.5,10.5,1991,6
45,1991-06-01,0.6299999952316284,6.035999965667724,37.5,10.5,1991,6
46,1991-06-01,0.1599999964237213,1.9600000381469729,35.5,23.5,1991,6
47,1991-06-01,0.0,3.124000072479248,36.5,23.5,1991,6
48,1991-06-01,0.0399999991059303,5.619999885559081,37.5,23.5,1991,6
49,1991-06-01,0.3899999856948852,9.578000259399412,38.5,23.5,1991,6
50,1991-06-01,6.039999961853027,17.918000411987304,39.5,23.5,1991,6
51,1991-06-01,0.7400000095367432,2.896000051498413,35.5,24.5,1991,6
52,1991-06-01,0.209999993443489,0.283999991416931,36.5,24.5,1991,6
53,1991-06-01,0.2599999904632568,3.0159999847412107,37.5,24.5,1991,6
54,1991-06-01,0.9200000166893004,6.963999843597412,38.5,24.5,1991,6
55,1991-06-01,0.3100000023841858,4.668000030517578,39.5,24.5,1991,6
56,1991-06-01,0.7099999785423279,1.5019999742507932,35.5,25.5,1991,6
57,1991-06-01,0.0,0.0299999993294477,36.5,25.5,1991,6
58,1991-06-01,1.3200000524520874,1.6579999685287474,35.5,26.5,1991,6
59,1991-06-01,0.0,0.088000002503395,36.5,26.5,1991,6
60,1991-06-01,0.5099999904632568,0.6439999818801879,35.5,27.5,1991,6
61,1991-07-01,0.4300000071525574,4.584000110626221,35.5,10.5,1991,7
62,1991-07-01,0.1500000059604644,7.848000049591064,36.5,10.5,1991,7
63,1991-07-01,0.0099999997764825,6.035999965667724,37.5,10.5,1991,7
64,1991-07-01,0.0199999995529651,3.069999933242798,35.5,11.5,1991,7
65,1991-07-01,0.0599999986588954,4.339999866485595,36.5,11.5,1991,7
66,1991-07-01,0.0799999982118606,4.273999977111816,37.5,11.5,1991,7
67,1991-07-01,0.0,0.6979999899864197,35.5,12.5,1991,7
68,1991-07-01,0.0,2.658000040054321,36.5,12.5,1991,7
